time_utc,WS10M,WD10M
2023-01-01 00:00:00,6.63,196.0
2023-01-01 01:00:00,6.24,196.1
2023-01-01 02:00:00,6.03,194.9
2023-01-01 03:00:00,6.05,193.1
2023-01-01 04:00:00,5.94,189.5
2023-01-01 05:00:00,5.93,185.6
2023-01-01 06:00:00,6.21,180.6
2023-01-01 07:00:00,6.74,176.3
2023-01-01 08:00:00,7.47,174.8
2023-01-01 09:00:00,8.1,174.6
2023-01-01 10:00:00,8.76,177.9
2023-01-01 11:00:00,8.81,182.0
2023-01-01 12:00:00,8.51,187.6
2023-01-01 13:00:00,8.04,193.4
2023-01-01 14:00:00,7.75,204.6
2023-01-01 15:00:00,6.63,207.3
2023-01-01 16:00:00,5.53,204.6
2023-01-01 17:00:00,4.93,200.9
2023-01-01 18:00:00,4.53,200.3
2023-01-01 19:00:00,4.21,204.3
2023-01-01 20:00:00,3.95,210.7
2023-01-01 21:00:00,3.91,219.9
2023-01-01 22:00:00,3.85,236.0
2023-01-01 23:00:00,3.96,265.1
2023-01-02 00:00:00,4.94,294.1
2023-01-02 01:00:00,6.2,309.4
2023-01-02 02:00:00,6.49,313.8
2023-01-02 03:00:00,5.65,307.6
2023-01-02 04:00:00,5.09,296.9
2023-01-02 05:00:00,4.85,289.5
2023-01-02 06:00:00,4.66,282.9
2023-01-02 07:00:00,4.48,277.0
2023-01-02 08:00:00,4.21,270.1
2023-01-02 09:00:00,4.13,264.7
2023-01-02 10:00:00,3.86,262.9
2023-01-02 11:00:00,3.47,264.5
2023-01-02 12:00:00,3.2,268.7
2023-01-02 13:00:00,2.97,276.8
2023-01-02 14:00:00,2.83,289.6
2023-01-02 15:00:00,2.59,302.2
2023-01-02 16:00:00,2.4,314.3
2023-01-02 17:00:00,2.18,325.1
2023-01-02 18:00:00,1.78,333.6
2023-01-02 19:00:00,1.12,348.2
2023-01-02 20:00:00,0.47,45.0
2023-01-02 21:00:00,0.83,124.3
2023-01-02 22:00:00,1.41,146.0
2023-01-02 23:00:00,2.0,157.0
2023-01-03 00:00:00,2.43,165.2
2023-01-03 01:00:00,2.72,172.4
2023-01-03 02:00:00,3.06,177.4
2023-01-03 03:00:00,3.47,178.7
2023-01-03 04:00:00,3.77,180.6
2023-01-03 05:00:00,3.85,185.1
2023-01-03 06:00:00,3.94,188.9
2023-01-03 07:00:00,4.15,189.7
2023-01-03 08:00:00,4.15,192.1
2023-01-03 09:00:00,4.35,198.1
2023-01-03 10:00:00,4.08,204.8
2023-01-03 11:00:00,3.46,216.9
2023-01-03 12:00:00,3.1,226.6
2023-01-03 13:00:00,2.74,241.0
2023-01-03 14:00:00,2.47,260.0
2023-01-03 15:00:00,1.88,275.5
2023-01-03 16:00:00,1.33,278.7
2023-01-03 17:00:00,0.76,244.1
2023-01-03 18:00:00,1.46,185.5
2023-01-03 19:00:00,2.78,179.0
2023-01-03 20:00:00,3.67,183.0
2023-01-03 21:00:00,4.13,189.5
2023-01-03 22:00:00,4.2,197.7
2023-01-03 23:00:00,4.1,205.8
2023-01-04 00:00:00,3.91,214.9
2023-01-04 01:00:00,3.63,224.6
2023-01-04 02:00:00,3.3,232.0
2023-01-04 03:00:00,3.08,236.1
2023-01-04 04:00:00,2.98,237.7
2023-01-04 05:00:00,2.95,236.5
2023-01-04 06:00:00,3.01,231.9
2023-01-04 07:00:00,3.2,228.0
2023-01-04 08:00:00,3.29,226.4
2023-01-04 09:00:00,3.12,226.7
2023-01-04 10:00:00,2.98,226.1
2023-01-04 11:00:00,2.15,240.2
2023-01-04 12:00:00,1.96,258.8
2023-01-04 13:00:00,1.98,269.1
2023-01-04 14:00:00,2.01,279.7
2023-01-04 15:00:00,1.79,294.1
2023-01-04 16:00:00,1.73,313.4
2023-01-04 17:00:00,1.63,320.0
2023-01-04 18:00:00,1.32,313.5
2023-01-04 19:00:00,1.0,289.3
2023-01-04 20:00:00,1.0,259.6
2023-01-04 21:00:00,1.19,238.5
2023-01-04 22:00:00,1.47,219.8
2023-01-04 23:00:00,1.76,209.2
2023-01-05 00:00:00,2.02,202.4
2023-01-05 01:00:00,2.14,197.7
2023-01-05 02:00:00,2.23,194.0
2023-01-05 03:00:00,2.37,191.7
2023-01-05 04:00:00,2.69,189.2
2023-01-05 05:00:00,3.08,188.8
2023-01-05 06:00:00,3.35,191.2
2023-01-05 07:00:00,3.59,196.4
2023-01-05 08:00:00,3.74,201.6
2023-01-05 09:00:00,4.33,201.8
2023-01-05 10:00:00,3.91,197.6
2023-01-05 11:00:00,3.01,184.6
2023-01-05 12:00:00,2.52,162.2
2023-01-05 13:00:00,2.59,140.3
2023-01-05 14:00:00,3.03,124.1
2023-01-05 15:00:00,3.12,113.0
2023-01-05 16:00:00,3.6,109.3
2023-01-05 17:00:00,3.84,114.5
2023-01-05 18:00:00,3.65,127.2
2023-01-05 19:00:00,3.35,148.5
2023-01-05 20:00:00,3.17,175.7
2023-01-05 21:00:00,3.27,202.1
2023-01-05 22:00:00,3.51,224.7
2023-01-05 23:00:00,3.64,245.7
2023-01-06 00:00:00,3.69,262.5
2023-01-06 01:00:00,3.54,272.9
2023-01-06 02:00:00,3.29,273.3
2023-01-06 03:00:00,2.99,262.5
2023-01-06 04:00:00,2.92,243.5
2023-01-06 05:00:00,3.08,226.6
2023-01-06 06:00:00,3.41,213.0
2023-01-06 07:00:00,3.78,203.9
2023-01-06 08:00:00,4.15,197.8
2023-01-06 09:00:00,5.03,192.0
2023-01-06 10:00:00,5.0,186.4
2023-01-06 11:00:00,4.57,187.2
2023-01-06 12:00:00,3.91,194.5
2023-01-06 13:00:00,3.12,204.2
2023-01-06 14:00:00,2.4,213.1
2023-01-06 15:00:00,1.6,209.1
2023-01-06 16:00:00,2.24,199.8
2023-01-06 17:00:00,3.46,198.9
2023-01-06 18:00:00,4.98,203.8
2023-01-06 19:00:00,6.42,209.4
2023-01-06 20:00:00,7.05,212.5
2023-01-06 21:00:00,7.16,213.1
